pzpn_id,eyeball_id,home_away,opponent,date_time,Team,Number,Player name,Position,Rating,Minutes played,Goals,Goals own,Assists,Offsides,Shots,Freekicks,Corners,Throw in,Fouls,Yellow cards,Red cards,Shots on target,Blocked shots,Shots off target,Shots inside pa,Shots outside pa,Success Take-Ons,Total Take-Ons,Shot Conversion Rate,Success Tackles,Total Tackles,Success Aerial duels,Total Aerial duels,Success Ground duels,Total Ground duels,Interceptions,Recovery,Blocks,Mistakes,Fouls won,Success Passes,Total Passes,Pass accuracy,Key passes,Success Passes in final third,Total Passes in final third,Success Passes in middle third,Total Passes in middle third,Success Passes in defensive third,Total Passes in defensive third,Success Long passes,Total Long passes,Success Medium range passes,Total Medium range passes,Success Short passes,Total Short passes,Success Forward passes,Total Forward passes,Success Sideways passes,Total Sideways passes,Success Backward passes,Total Backward passes,Success Crosses,Total Crosses,Conceded goals,Catches,Parries & Blocks,Succesful goal kicks,All goal kicks,GK Interceptions Successful,GK Interceptions Total
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,11.0,Oliwier ZIEBA,LW,6.4,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,40.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,24.0,Victor CIEMPIEL,DM,7.2,82.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0%,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,14.0,17.0,82.0,1.0,1.0,1.0,10.0,11.0,3.0,5.0,4.0,7.0,3.0,3.0,7.0,7.0,4.0,7.0,8.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,8.0,Jan TYSZKO,CM,7.1,96.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0%,2.0,4.0,0.0,1.0,4.0,9.0,1.0,5.0,0.0,1.0,1.0,24.0,27.0,89.0,1.0,5.0,6.0,10.0,12.0,9.0,9.0,2.0,3.0,8.0,9.0,14.0,15.0,7.0,9.0,11.0,12.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,5.0,Adrian BAGINSKI,CB,7.7,96.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,3.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,17.0,18.0,94.0,0.0,1.0,1.0,6.0,7.0,10.0,10.0,4.0,5.0,1.0,1.0,12.0,12.0,6.0,7.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,10.0,Maciej SKROK,CAM,6.3,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,1.0,4.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,40.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,1.0,Dawid JANKOWSKI,GK,6.2,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,11.0,13.0,85.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,2.0,4.0,3.0,3.0,6.0,6.0,6.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,3.0,Bartosz PAWLAK,LB,6.2,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0%,0.0,4.0,1.0,1.0,1.0,9.0,2.0,4.0,0.0,0.0,0.0,11.0,19.0,58.0,0.0,4.0,8.0,3.0,5.0,4.0,6.0,0.0,2.0,3.0,4.0,8.0,13.0,3.0,9.0,4.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,9.0,Marcel DZIEWA,CF,6.1,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,10.0,50.0,0.0,3.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,7.0,3.0,3.0,0.0,4.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,4.0,Norbert BIALOOKI,CB,9.2,96.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0%,5.0,7.0,6.0,6.0,7.0,11.0,2.0,12.0,1.0,0.0,1.0,27.0,36.0,75.0,0.0,2.0,3.0,11.0,13.0,14.0,20.0,4.0,8.0,10.0,12.0,13.0,16.0,17.0,26.0,8.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,2.0,Daniel LESNIEWSKI,RB,6.9,82.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,2.0,6.0,1.0,1.0,3.0,8.0,4.0,3.0,0.0,0.0,1.0,10.0,14.0,71.0,0.0,1.0,4.0,7.0,7.0,2.0,3.0,0.0,0.0,3.0,6.0,7.0,8.0,3.0,4.0,3.0,6.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,POLONIA WARSZAWA,7.0,Filip GARCZYNSKI,RW,7.1,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,2.0,5.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,6.0,12.0,50.0,0.0,2.0,4.0,4.0,7.0,0.0,1.0,0.0,1.0,5.0,9.0,1.0,2.0,3.0,8.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
